"OPENING_ID","FireID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-2","Sur-AgeCl-5","Sur-AgeCl-3","SurIM-75Con","SurY-Con","SurM-Pine","SurM-PineMix","Sur-AgeCl-1","Sur-AgeCl-4","SurY-50_50","SurY-75Con","SurIM-50_50","SurM-75Con","SurM-75Pine","SurM-50_50","TotArea","1932","1958","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli","SurIM-Dec","SurM-Dec","1919","1920","1921","1922","1923","1924","1925","1928","1929","1930","1931","1937","1938","1940","1946","1947","1949","1950","1951","1953","1957","1959","1961","1963","1965","1967","1969","1970","1972","1973","1974","1980","1986","1998","2000","2007","2009","2010","2012","2013","2015","2016","1926","1956","1978","1979","1985","1987","1988","1990","1991","1995","1999","2006","2008","2011","2014","2018","2017","1941","SurY-Dec","1960","2002","1934","1936","1944","FireName","StartDate","OfficialEndDate","AnalysisEndDate","Total_Area","Burned_Percent","dNBR_sc","sur_dNBR_sc","PlantAgeCat","BroadBurn","Chemical","DebrisMade","DebrisPiled","GrassSeed","Landings","Layout","MechUnk","None","PileBurn","Soil","SpotBurn","Trail","WBurn","BroadBurn_Area","Chemical_Area","DebrisMade_Area","DebrisPiled_Area","GrassSeed_Area","Landings_Area","Layout_Area","MechUnk_Area","None_Area","PileBurn_Area","Soil_Area","SpotBurn_Area","Trail_Area","WBurn_Area","NoBurn","AnyBurn","PileNoBurn","DebrisMade_Burn","SoilDist_Burn"
-478770000,"C10784",22,0,0,0.0640836110717579,0.197269922906211,0.738646466022031,0,100,65.7285714285714,0,100,0,36.4285714285714,100.142857142857,14.4571428571429,13.181263,0.0347155444324017,0,0,1,0,0,1,1,"CC",0.396884387894821,0.487364748097733,NA,33.1818181818182,33.1818181818182,NA,0.220372169183705,0.299720899140695,0.479906931675599,0.0644685178995132,NA,NA,NA,NA,0.115750864007447,0.140204685275974,0.292896836820997,0.365697150985108,0.381390801688335,NA,NA,NA,NA,0.0542632260007618,NA,148369.16825035,NA,NA,226,0.204846022054784,2.50188946395372,329.093720809273,0.554735412508805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,34.7155444324017,64.4685178995132,3,"0","0","0","0","1","1","0","0","1","0","1","0","0","0",0,0,0,0,2,6,0,0,0,0,2,0,0,0,"1","0","0","0","0"
-478760000,"C10784",38,0,0.303348959214987,0.0393710653096763,0.109765148679677,0.54751482679566,2,98,81,0,98,0,27,81.6,10.46,11.202976,0.0573517568409443,1,0,1,0,0,0,1,"CC",0.0123377311055735,0.445428955093779,NA,27.5,27.5,0.0114258689771117,0.167353587761363,0.49719974799021,0.324020795271315,0.0993309542536736,NA,NA,NA,NA,0.542233313800647,0.123798922670753,0.00575703320167087,0.55103577896397,NA,NA,NA,NA,NA,0.300367412085523,NA,617774.834818783,NA,NA,226,0.215220953562156,2.88824379260653,326.324495776331,0.538133475869501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,57.3517568409443,99.3309542536736,4,"0","0","0","0","0","1","0","0","1","0","1","0","0","0",0,0,0,0,0,59,0,0,0,0,59,0,0,0,"1","0","0","0","0"
-478750000,"C10784",24,0,0,0.00764743151482012,0,0.99235256848518,8.33333333333333,91.6666666666667,77.5,0,90,1.66666666666667,54.1666666666667,28.3333333333333,7.71666666666667,9.50047,0.0338542796671391,0,0,0,0,0,1,1,"CC",0.753595127731706,0.062261543814676,0.0534707315396706,31.5833333333333,31.5833333333333,NA,0.23768437370752,0.05791246433672,0.70440316195576,0.0392362698912621,NA,NA,0.608085517236342,0.0509078790460846,NA,NA,0.062261543814676,NA,0.051553651682315,NA,0.0797647178678629,NA,NA,NA,NA,157704.908333396,NA,NA,240,0.090172158022012,1.23812979456569,247.617429896763,0.537296355792454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,33.8542796671391,39.2362698912621,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-478740000,"C10784",23,0,0,0.102443723089316,0.0208856916047091,0.876670585305975,0,100,83.5714285714286,2.14285714285714,97.8571428571429,0,38.5714285714286,54.2857142857143,9.41428571428571,8.28294128571429,0.0381081327795982,0,0,1,0,0,1,1,"CC",0.460052338398369,0.160802616225288,NA,38.5714285714286,38.5714285714286,NA,0.235537272396037,0.213104978198192,0.551357749405771,0.0643225684762001,0.470980870041388,NA,NA,NA,0.379145045376342,0.0348585947561666,0.125944021469122,0.481711032073472,NA,NA,NA,NA,NA,NA,NA,136253.435408108,NA,NA,216,0.199310541002942,2.71671534803596,331.163933465945,0.53034738586253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,38.1081327795982,64.3225684762001,3,"0","0","0","0","1","1","0","0","1","0","1","0","0","0",0,0,0,0,2,4,0,0,0,0,14.7,0,0,0,"1","0","0","0","0"
-478730000,"C10784",23,0,0,0.0688594218486872,0,0.931140578151313,0,100,77,0,100,0,30.7142857142857,33.1428571428571,6.3,4.48174,0.0316907204687595,0,0,1,0,0,1,1,"CC",0.338448175695361,0.0773316097059098,NA,30,30,NA,0.228368237161447,NA,0.771631762838553,0.0299274567514658,0.438298742071714,NA,0.01645976366835,NA,0.584220214598729,NA,NA,0.499041160825915,NA,NA,NA,NA,NA,NA,NA,119343.799111554,NA,NA,226,0.0876033231470501,4.5575565637555,307.843392372131,0.58475110353902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,31.6907204687595,29.9274567514658,3,"0","0","0","0","1","1","0","0","1","0","1","0","0","0",0,0,0,0,2,3.5,0,0,0,0,11.8,0,0,0,"1","0","0","0","0"
-478720000,"C10784",23,0,0,0.214125901689801,0,0.785874098310199,0,100,56.6833333333333,0,100,0,32.5,63.5,12.1333333333333,7.4998035,0.0392811261117458,0,0,1,0,0,1,1,"CC",0.332462688168563,0.384795275937921,NA,33.5714285714286,33.5714285714286,NA,0.11552587038401,0.0148484666648662,0.869625662951124,0.0269634379073977,NA,NA,0.260748739253715,NA,0.282742035893517,NA,0.051396836147829,0.273913341386122,NA,NA,NA,NA,NA,NA,NA,100261.648762633,NA,NA,226,0.102584483011304,4.27525010752384,298.174036616773,0.626163033257544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,39.2811261117458,26.9634379073977,3,"0","0","0","0","0","1","0","0","1","0","1","0","0","0",0,0,0,0,0,1,0,0,0,0,9.8,0,0,0,"1","0","0","0","0"
-478710000,"C10784",23,0,0,0.0901260407686393,0.017539415773663,0.892334543457698,0,100,67.2222222222222,0,100,0,45,72.8888888888889,11.6777777777778,10.8513177777778,0.0191939026117325,0,0,1,0,0,1,1,"CC",0.695215499107549,0.304784500892451,NA,43.5,43.5,0.00217068186534536,0.0980289628248782,0.158378525762901,0.741421829546876,0.0325010512024164,NA,NA,0.324226319348661,NA,NA,NA,0.213666324213468,0.161572801332561,0.375204065991826,NA,NA,NA,NA,NA,NA,740160.082503583,NA,NA,223,0.104378875140156,2.58565888544822,334.481175377255,0.556338235753633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,19.1939026117325,32.5010512024164,3,"0","0","0","0","0","0","0","0","1","0","1","0","0","0",0,0,0,0,0,0,0,0,0,0,72,0,0,0,"1","0","0","0","0"
-478700000,"C10784",24,0,0.218378730299192,0.154870078797182,0.18908316947957,0.437668021424056,0.222222222222222,88.6666666666667,75.5555555555556,0,88.6666666666667,0,32.7777777777778,66.6666666666667,11.1222222222222,8.59063333333333,0.0964774861931801,0,0,1,0,0,1,1,"CC",0.600031600173458,0.259025649372157,0.13938623020878,31.5625,31.5625,0.127841952967199,0.348050262344308,0.275892639913002,0.248215144775491,0.117155056446791,0.191376747861996,NA,0.0603736976750728,NA,0.00155652024560449,0.117450298144065,0.115755522639069,0.14107863582869,0.363458993737237,NA,NA,NA,NA,0.0258198285890236,NA,290456.45381324,NA,NA,226,0.141296081995259,1.98413935214935,324.951009624804,0.540221818935908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,96.4774861931801,117.155056446791,3,"0","0","0","0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,1,5,0,0,0,0,0,0,0,0,"1","0","0","0","0"
-478690000,"C10784",23,0,0.504917724091142,0.0120509304573332,0.205363284627306,0.277668060824219,0,100,98,0,100,0,43,91.4,14.14,10.49161,0.29953071475029,0,0,1,0,0,1,1,"CC",0.502782620456021,0.497217379543979,NA,41.25,41.25,0.207266018569204,0.175425854560631,0.413661082278631,0.203647044591534,0.151701532304287,NA,NA,NA,NA,NA,0.497217379543979,NA,0.0386660647604225,0.413941778979062,NA,NA,NA,NA,NA,NA,120016.35523191,NA,NA,223,0.140398779363536,1.00348145076457,346.050066779642,0.483774541055455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,299.53071475029,151.701532304287,3,"0","0","0","0","0","1","0","0","1","0","1","0","0","0",0,0,0,0,0,1,0,0,0,0,10.1,0,0,0,"1","0","0","0","0"
-478680000,"C10784",23,0,0,0.58063359925398,0.0737019736147494,0.34566442713127,0,100,43,0,100,0,35,72.6,12.28,16.2027422,0.0776493139564991,0,0,1,0,0,1,1,"CC",0.449245695643479,0.476689103709795,NA,35.7142857142857,35.7142857142857,NA,0.188974468562576,0.155247648390159,0.655777883047266,0.0779679827392101,NA,NA,0.410420102198859,NA,0.0740652006467268,NA,0.476689103709795,0.557196378663196,NA,NA,NA,NA,NA,NA,NA,151361.364965437,NA,NA,223,0.0626738422657721,4.42733347017127,324.663571871244,0.604341378960854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plateau Complex","07/07/2017","05/07/2018","31/10/2017","521,007",88.6,77.6493139564991,77.9679827392101,3,"0","0","0","0","0","1","0","0","1","0","1","0","0","0",0,0,0,0,0,1,0,0,0,0,10,0,0,0,"1","0","0","0","0"
