"OPENING_ID","FireID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurNA-NF","SurCrClos","SurBA","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-2","Sur-AgeCl-5","Sur-AgeCl-3","SurIM-75Con","SurY-Con","SurM-Pine","SurM-PineMix","Sur-AgeCl-1","Sur-AgeCl-4","SurY-50_50","SurY-75Con","SurIM-50_50","SurM-75Con","SurM-75Pine","SurM-50_50","TotArea","1932","1958","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli","SurIM-Dec","SurM-Dec","1919","1920","1921","1922","1923","1924","1925","1928","1929","1930","1931","1937","1938","1940","1946","1947","1949","1950","1951","1953","1957","1959","1961","1963","1965","1967","1969","1970","1972","1973","1974","1980","1986","1998","2000","2007","2009","2010","2012","2013","2015","2016","1926","1956","1978","1979","1985","1987","1988","1990","1991","1995","1999","2006","2008","2011","2014","2018","2017","1941","SurY-Dec","1960","2002","1934","1936","1944","FireName","StartDate","OfficialEndDate","AnalysisEndDate","Total_Area","Burned_Percent","dNBR_sc","sur_dNBR_sc","PlantAgeCat","BroadBurn","Chemical","DebrisMade","DebrisPiled","GrassSeed","Landings","Layout","MechUnk","None","PileBurn","Soil","SpotBurn","Trail","WBurn","BroadBurn_Area","Chemical_Area","DebrisMade_Area","DebrisPiled_Area","GrassSeed_Area","Landings_Area","Layout_Area","MechUnk_Area","None_Area","PileBurn_Area","Soil_Area","SpotBurn_Area","Trail_Area","WBurn_Area","NoBurn","AnyBurn","PileNoBurn","DebrisMade_Burn","SoilDist_Burn"
-626260000,"G41607",33,0,0.0328878309195466,0.228702497487423,0.168685990361367,0.569723681231663,0,100,19.7222222222222,27.7722222222222,72.2277777777778,0,58.6111111111111,89.8333333333333,14.4277777777778,34.5132663888889,0.0671941265463829,0,0,1,0,0,1,1,"CC",0.470806669956325,0.526630103667523,0.00256322637615201,50.1851851851852,50.1851851851852,0.389161222072941,0.0784027091467083,0.337961362691858,0.194474706088493,0.495584607124329,NA,NA,NA,NA,NA,NA,0.397505996330196,NA,NA,NA,NA,NA,NA,0.019262195704186,NA,1392702.43401124,NA,NA,220,0.137292442205178,1.83262055645108,288.890557888946,0.515479702967247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0581212752172231,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,67.1941265463829,495.584607124329,4,"0","0","0","1","0","0","0","0","1","1","1","0","0","0",0,0,0,496,0,0,0,0,0,496,28.8,0,0,0,"0","1","1","0","1"
-624610000,"G41607",27,0,0.0181641990373477,0.0250659072919311,0.0398337797936417,0.91693611387708,2.8125,84.6875,34.375,0.625,84.0625,0,21.875,77.25,9.46875,10.2384736875,-0.0865713581442833,0,1,1,0,0,1,1,"CC",0.0139565715250295,0.474210665624775,0.0387751783825173,20.8888888888889,20.8888888888889,0.00688941777556249,0.236105388439964,0.342595378822186,0.414409814962288,0.189519129693508,NA,NA,NA,NA,0.473057584467678,NA,0.425694217170294,NA,NA,NA,NA,NA,NA,NA,NA,990945.055587006,NA,NA,221,0.072559630431009,3.11255496200765,267.123754426579,0.588251430225459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-86.5713581442833,189.519129693508,3,"0","0","0","0","0","0","0","0","1","0","1","0","1","0",0,0,0,0,0,0,0,0,0,0,88,0,80,0,"1","0","0","0","0"
-622830000,"G41607",25,0,0.00589342463926557,0.0625977421921266,0.0462778157599825,0.885231017408625,6.42857142857143,90.7142857142857,44.5714285714286,4.14285714285714,86.5714285714286,0,42.6285714285714,61.4857142857143,10.7914285714286,19.2718249428571,-0.0793906860053539,1,1,1,0,0,1,1,"CC",0.237970830479328,0.365835527136074,0.0218984952625273,38.6,38.6,0.032596558976632,0.213920015455072,0.254486990074075,0.498996435494221,0.0850637331604958,0.260264990533029,NA,NA,0.00146525101906192,0.372829896103008,NA,0.321622375417774,0.0218797865077767,NA,NA,NA,NA,NA,0.00857051364383627,NA,1069346.35414204,NA,NA,220,0.0809070140461011,2.95571026140415,270.46752233763,0.589942083543015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-79.3906860053539,85.0637331604958,3,"0","0","0","0","0","0","0","0","1","1","1","0","0","1",0,0,0,0,0,0,0,0,0,9,98.6,0,0,43,"0","1","0","0","1"
-622580000,"G41607",38,0,0.0261354421766518,0.0264063047234829,0.0459553533921567,0.901502899707709,2.375,90.125,35.875,5.875,84.25,0,37.925,94.4,12.7575,19.849251625,-0.0492020398378372,0,0,1,1,0,1,1,"CC",0.255025874264043,0.552566749625289,0.0824076661265204,38.8627450980392,38.8627450980392,0.0345891533721202,0.0919533697619543,0.325504985746622,0.547952491119304,0.0895055904984474,0.0844943709010506,NA,0.0317095550267953,0.00303150619025302,0.106968203793895,0.011722302439466,0.0813102086205665,0.0763871759546763,NA,NA,NA,NA,NA,0.249942447496307,NA,1887692.80211265,NA,NA,221,0.0974177104174919,2.79066728207202,270.678159658734,0.582693960931566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000576103118596025,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-49.2020398378372,89.5055904984474,4,"1","0","0","0","0","0","0","0","1","1","0","0","1","0",166,0,0,0,0,0,0,0,0,51,0,0,32,0,"0","1","0","0","0"
-619730000,"G41607",26,0,0.00174154186449026,0.106497840989991,0.0190072936497359,0.872753323495783,4,96,9,25,71,0,44.5,124.9,18.56,31.962255,-0.0467166434973478,0,0,1,0,0,1,1,"CC",0.0703350030200842,0.890178961887091,NA,47,47,0.134324662738068,0.078807598709111,0.366719372298772,0.420148366254049,0.153861083090305,0.0532066542431942,NA,NA,0.0245659520151684,NA,NA,0.426685082328272,NA,0.0618911037789662,NA,0.0149200830776565,NA,NA,0.0383018673396285,NA,1524936.44670721,NA,NA,219,0.0983258110339518,2.35918276976148,277.005250935295,0.551818898964858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-46.7166434973478,153.861083090305,3,"1","0","0","0","0","0","0","0","1","0","1","0","0","0",133.5,0,0,0,0,0,0,0,0,0,5.9,0,0,0,"0","1","0","0","1"
7183,"G41607",25,0,0.0856254338002209,0.307146930695962,0.023674848631212,0.583552786872605,0.333333333333333,91.3333333333333,60.0833333333333,17.4166666666667,13.8333333333333,0,23.3333333333333,52.0833333333333,10.175,9.60539625,-0.0446177702397108,0,0,1,0,0,1,1,"CC",0.802432799602149,0.189033616822578,0.00853358357527349,31.3333333333333,31.3333333333333,0.49602762699019,0.194142041517358,0.262940469426103,0.0468898620663485,0.538316369056702,NA,NA,NA,NA,NA,NA,0.189033616822578,NA,NA,NA,NA,NA,NA,NA,NA,727888.680420227,NA,NA,234,0.129245461715937,2.39444375163366,325.913264867678,0.594198752064907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-44.6177702397108,538.316369056702,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
7187,"G41607",24,0,0.01839897164346,0.226400982255992,0.238637115516893,0.516562930583656,0,93.75,54.375,14.75,24.625,0,32.25,93.0625,16.3375,23.2251919375,-0.0688916482031345,0,1,1,0,0,1,1,"CC",0.0889994745700022,0.866863377038804,0.0441371483911942,43.2173913043478,43.2173913043478,0.252229616364003,0.21765438131857,0.50438222058428,0.0257337817331461,0.284380882978439,NA,NA,NA,NA,NA,0.430920006955645,0.0474317409929668,0.0521757296323992,NA,NA,NA,NA,NA,0.360310578030188,NA,790572.29035539,NA,NA,223,0.135398104490014,3.58906451291712,286.949154038863,0.550349344211546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-68.8916482031345,284.380882978439,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
7188,"G41607",25,0,0.0186612722600389,0.0583147367673088,0.0367536060257173,0.886270384946935,0,81.8181818181818,49.9090909090909,6.63636363636364,25.2727272727273,0,29.3636363636364,98.0909090909091,16.1,20.9294631818182,-0.0822953432798386,0,0,1,0,0,1,1,"CC",3.42444923893161e-12,0.975583396668616,0.0244166033279594,40.125,40.125,0.0626605863416277,0.481491717202797,0.454203577654688,0.0016441188008867,0.107320487499237,NA,NA,NA,NA,NA,0.677598026559565,0.0847117405606194,0.385254368483461,NA,NA,NA,NA,NA,0.0346752170974463,NA,530843.100459322,NA,NA,223,0.129180160383239,2.32492745344261,293.710911811803,0.543349569995797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-82.2953432798386,107.320487499237,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
7189,"G41607",25,0,0.0247742402650989,0.17547435265092,0.11745749022424,0.682293916859741,0.166666666666667,87.3333333333333,62.4166666666667,8.70833333333333,35.0416666666667,0.25,21,61,11.1416666666667,10.4659175833333,-0.0743322893977165,0,0,1,0,0,1,1,"CC",0.0152588820810189,0.839252403999733,0.126374174523641,28.96,28.96,0.311199077392313,0.112949834530564,0.571920620487003,0.00393046759011952,0.285375475883484,NA,NA,NA,NA,0.019114539395607,0.539594982734083,0.237756513474789,0.521284723347013,NA,NA,NA,NA,NA,0.0606892027976705,NA,819260.157926489,NA,NA,223,0.0894341242929648,2.80434083862674,295.616281121252,0.552778774069488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-74.3322893977165,285.375475883484,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
7190,"G41607",24,0,0.0454746472881174,0.155705033781784,0.0853905207978887,0.71342979813221,0.0714285714285714,85.6428571428571,73.2142857142857,0.571428571428571,11.8571428571429,0,42.1428571428571,126.928571428571,17.1857142857143,27.4060875714286,-0.0724867656826973,0,0,1,0,0,1,1,"CC",NA,0.910859687382086,0.0891403126149278,45.5555555555556,45.5555555555556,0.0962564426875955,0.0489818560642023,0.841793467849898,0.0129682333983044,0.194680392742157,NA,NA,NA,NA,2.98583419207515e-12,0.594208990768264,0.196554057718639,0.263734939895209,NA,NA,NA,NA,NA,0.120096638895184,NA,796955.207504172,NA,NA,223,0.159038368437046,2.83064587217125,286.064412665827,0.584772772774117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chutanli Lake","30/07/2018","07/01/2019","31/10/2018","20,734",78.6,-72.4867656826973,194.680392742157,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","0","0","0"
